index,ticker,name,cik,sector,sub_industry,industry_group
31,AME,Ametek,1037868,Industrials,Electrical Components & Equipment,Capital Goods
32,AMGN,Amgen,318154,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
33,APH,Amphenol,820313,Information Technology,Electronic Components,Technology Hardware & Equipment
34,ADI,Analog Devices,6281,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
35,AON,Aon plc,315293,Financials,Insurance Brokers,Insurance
36,APA,APA Corporation,1841666,Energy,Oil & Gas Exploration & Production,Energy
37,APO,Apollo Global Management,1858681,Financials,Asset Management & Custody Banks,Financial Services
38,AAPL,Apple Inc.,320193,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
39,AMAT,Applied Materials,6951,Information Technology,Semiconductor Materials & Equipment,Semiconductors & Semiconductor Equipment
40,APP,AppLovin,1751008,Information Technology,Application Software,Software & Services
41,APTV,Aptiv,1521332,Consumer Discretionary,Automotive Parts & Equipment,Automobiles & Components
42,ACGL,Arch Capital Group,947484,Financials,Property & Casualty Insurance,Insurance
43,ADM,Archer Daniels Midland,7084,Consumer Staples,Agricultural Products & Services,"Food, Beverage & Tobacco"
44,ANET,Arista Networks,1596532,Information Technology,Communications Equipment,Technology Hardware & Equipment
45,AJG,Arthur J. Gallagher & Co.,354190,Financials,Insurance Brokers,Insurance
46,AIZ,Assurant,1267238,Financials,Multi-line Insurance,Insurance
47,T,AT&T,732717,Communication Services,Integrated Telecommunication Services,Telecommunication Services
48,ATO,Atmos Energy,731802,Utilities,Gas Utilities,Utilities
49,ADSK,Autodesk,769397,Information Technology,Application Software,Software & Services
50,ADP,Automatic Data Processing,8670,Industrials,Human Resource & Employment Services,Commercial & Professional Services
51,AZO,AutoZone,866787,Consumer Discretionary,Automotive Retail,Consumer Discretionary Distribution & Retail
52,AVB,AvalonBay Communities,915912,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
53,AVY,Avery Dennison,8818,Materials,Paper & Plastic Packaging Products & Materials,Materials
54,AXON,Axon Enterprise,1069183,Industrials,Aerospace & Defense,Capital Goods
55,BKR,Baker Hughes,1701605,Energy,Oil & Gas Equipment & Services,Energy
56,BALL,Ball Corporation,9389,Materials,"Metal, Glass & Plastic Containers",Materials
57,BAC,Bank of America,70858,Financials,Diversified Banks,Banks
58,BAX,Baxter International,10456,Health Care,Health Care Equipment,Health Care Equipment & Services
59,BDX,Becton Dickinson,10795,Health Care,Health Care Equipment,Health Care Equipment & Services
60,BRK.B,Berkshire Hathaway,1067983,Financials,Multi-Sector Holdings,Financial Services
61,BBY,Best Buy,764478,Consumer Discretionary,Computer & Electronics Retail,Consumer Discretionary Distribution & Retail
62,TECH,Bio-Techne,842023,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
63,BIIB,Biogen,875045,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
64,BLK,BlackRock,2012383,Financials,Asset Management & Custody Banks,Financial Services
65,BX,Blackstone Inc.,1393818,Financials,Asset Management & Custody Banks,Financial Services
66,XYZ,"Block, Inc.",1512673,Financials,Transaction & Payment Processing Services,Financial Services
67,BK,BNY Mellon,1390777,Financials,Asset Management & Custody Banks,Financial Services
68,BA,Boeing,12927,Industrials,Aerospace & Defense,Capital Goods
69,BKNG,Booking Holdings,1075531,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
70,BSX,Boston Scientific,885725,Health Care,Health Care Equipment,Health Care Equipment & Services
71,BMY,Bristol Myers Squibb,14272,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences"
72,AVGO,Broadcom,1730168,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
73,BR,Broadridge Financial Solutions,1383312,Industrials,Data Processing & Outsourced Services,Commercial & Professional Services
74,BRO,Brown & Brown,79282,Financials,Insurance Brokers,Insurance
75,BF.B,Brown–Forman,14693,Consumer Staples,Distillers & Vintners,"Food, Beverage & Tobacco"
76,BLDR,Builders FirstSource,1316835,Industrials,Building Products,Capital Goods
77,BG,Bunge Global,1996862,Consumer Staples,Agricultural Products & Services,"Food, Beverage & Tobacco"
78,BXP,"BXP, Inc.",1037540,Real Estate,Office REITs,Equity Real Estate Investment Trusts (REITs)
79,CHRW,C.H. Robinson,1043277,Industrials,Air Freight & Logistics,Transportation
80,CDNS,Cadence Design Systems,813672,Information Technology,Application Software,Software & Services
81,CPT,Camden Property Trust,906345,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
82,CPB,Campbell's Company (The),16732,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
83,COF,Capital One,927628,Financials,Consumer Finance,Financial Services
